Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Moriarty,0,0,0
Idan1986,17.07,-2.83,2,bardak65,11.4,0.33,7
Nissimb,3.19,2.17,7,Tezka11,11.25,1.19,3
UziMutsafy,7.9,2.23,7,GuyEliyahu,4.61,-0.09,4
Avshalom,6.58,1.66,7,MarcelDana,10.43,-2.34,2
YKwin,0,0,2,YossiEliezer23,0,0,7
ynonhagag,0,0,0,ys,0,0,0
GS18671,17.67,1.13,7,Yannay,8.97,-5.54,3
yosseflive,16.56,-1.33,1,sagivquina,6.85,2.18,7
KingArt,10.47,0.49,7,Ran1976,11.06,-0.89,4
Yehuda,0,0,0,fridlich,0,0,7
Avi,8.67,0.62,4,ilanblum,12.79,4.63,7
Yaniv162,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,7.28,3.79,7,Idan1986,11.9,-2.63,0
Nissimb,5.18,-1.4,2,Moriarty,7.95,0.48,7
UziMutsafy,11.47,2.21,7,bardak65,8.19,-0.38,2
Avshalom,10.32,-1.53,2,Tezka11,12.44,-0.25,7
YKwin,0,0,7,GuyEliyahu,0,0,0
ynonhagag,6.57,-4.73,7,MarcelDana,22.71,1.29,5
GS18671,12.46,6.19,6,YossiEliezer23,5.32,4.27,7
yosseflive,13.18,0.78,7,ys,5.18,-1.25,5
KingArt,9.52,1.81,7,Yannay,9.51,-1.29,4
Yehuda,0,0,0,sagivquina,0,0,7
Avi,11.55,4.75,7,Ran1976,14.21,-0.43,4
Yaniv162,11.74,-1.01,2,fridlich,5.6,2.61,7
Bye,0,0,7,ilanblum,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Nissimb,0,0,0
UziMutsafy,12.18,-1.77,7,Idan1986,22.71,-1.13,1
Avshalom,0,0,0,Moriarty,0,0,0
YKwin,5.44,-3.19,6,bardak65,8.24,0.22,7
ynonhagag,0,0,0,Tezka11,0,0,0
GS18671,8.96,4.25,7,GuyEliyahu,5.27,0.44,3
yosseflive,12,3.36,7,MarcelDana,7.07,-1.51,5
KingArt,17.56,2.83,7,YossiEliezer23,17.37,0.21,3
Yehuda,0,0,0,ys,0,0,7
Avi,6.44,-0.54,4,Yannay,12.76,3.62,7
Yaniv162,10.4,1.75,7,sagivquina,6.18,-3.53,0
Bye,0,0,7,Ran1976,0,0,0
ilanblum,10.13,-0.43,4,fridlich,6.74,1.12,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,UziMutsafy,0,0,0
Avshalom,8.34,4.81,7,Nissimb,3.24,-0.15,2
YKwin,6,-2.38,3,Idan1986,9.71,1.62,7
ynonhagag,0,0,0,Moriarty,0,0,0
GS18671,10.81,0.51,5,bardak65,13.66,2.88,7
yosseflive,0,0,0,Tezka11,0,0,0
KingArt,0,0,2,GuyEliyahu,0,0,7
Yehuda,0,0,0,MarcelDana,0,0,7
Avi,10.13,2.43,5,YossiEliezer23,4.64,-1.94,7
Yaniv162,13.23,-0.28,6,ys,5.32,-2.07,7
Bye,0,0,7,Yannay,0,0,0
ilanblum,11.82,-2.84,4,sagivquina,10.86,-4.01,7
fridlich,2.23,-1.17,7,Ran1976,12.75,-2.19,3
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,13.71,-0.74,3,Avshalom,3.95,0.82,7
YKwin,4.49,2.08,7,UziMutsafy,5.1,0.34,6
ynonhagag,0,0,0,Nissimb,0,0,0
GS18671,12.9,-1.41,5,Idan1986,11.34,-0.35,7
yosseflive,0,0,0,Moriarty,0,0,0
KingArt,10.4,-0.01,7,bardak65,10.22,-1.67,5
Yehuda,0,0,0,Tezka11,0,0,7
Avi,7.58,-1.81,0,GuyEliyahu,2.23,0.96,7
Yaniv162,11.86,-1.03,7,MarcelDana,12.98,-0.62,6
Bye,0,0,7,YossiEliezer23,0,0,0
ilanblum,17.51,-1.76,0,ys,3.58,0.74,7
fridlich,2.82,0.69,7,Yannay,12.66,0.45,5
Ran1976,10.75,1.43,7,sagivquina,18.35,4.23,6
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,14.92,-0.76,5,YKwin,5.44,-0.12,7
ynonhagag,6.32,-3.15,4,Avshalom,9.52,-0.4,7
