Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,sasha_er,0,0,0
Idan1986,0,0,0,bardak65,0,0,0
hmualem,0,0,0,Ran1976,0,0,0
Nissimb,0,0,0,Efi,0,0,0
Moriarty,0,0,0,UziMutsafy,0,0,0
GuyEliyahu,0,0,0,Avshalom,0,0,0
YKwin,0,0,0,KingArt,0,0,0
HeartGammon,0,0,0,lur,0,0,0
Tezka11,0,0,0,nadavd,0,0,0
ys,5.86,2.18,7,gidio,11.85,-1.73,1
Hummus,7.72,-1.09,0,YossiEliezer23,5.85,-0.11,7
OvedBenZeev,0,0,0,mirob,0,0,0
Aviv,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Idan1986,0,0,0
hmualem,13.45,3.35,3,sasha_er,17.06,2.07,7
Nissimb,7.1,0.76,7,bardak65,11.9,0.26,5
Moriarty,0,0,0,Ran1976,0,0,0
GuyEliyahu,0,0,0,Efi,0,0,0
YKwin,0,0,0,UziMutsafy,0,0,0
HeartGammon,5.24,2.37,7,Avshalom,6.92,-1.3,0
Tezka11,10.46,-3.3,0,KingArt,10.53,0.26,7
ys,0,0,0,lur,0,0,0
Hummus,0,0,0,nadavd,0,0,0
OvedBenZeev,0,0,0,gidio,0,0,0
Aviv,17.73,1.91,1,YossiEliezer23,6.22,5.12,7
Bye,0,0,7,mirob,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,hmualem,0,0,0
Nissimb,0,0,0,Idan1986,0,0,0
Moriarty,0,0,0,sasha_er,0,0,0
GuyEliyahu,0,0,0,bardak65,0,0,0
YKwin,0,0,0,Ran1976,0,0,0
HeartGammon,0,0,0,Efi,0,0,0
Tezka11,12.17,-0.28,5,UziMutsafy,11.15,1.18,7
ys,0,0,0,Avshalom,0,0,0
Hummus,2.99,-1.06,4,KingArt,11.05,2.1,7
OvedBenZeev,0,0,0,lur,0,0,0
Aviv,0,0,0,nadavd,0,0,0
Bye,0,0,7,gidio,0,0,0
mirob,14.99,-0.82,6,YossiEliezer23,2.52,-5.9,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Nissimb,0,0,0
Moriarty,3.26,-3.28,4,hmualem,8.34,0.55,7
GuyEliyahu,0,0,0,Idan1986,0,0,0
YKwin,0,0,0,sasha_er,0,0,0
HeartGammon,0,0,0,bardak65,0,0,0
Tezka11,0,0,0,Ran1976,0,0,0
ys,0,0,0,Efi,0,0,0
Hummus,0,0,0,UziMutsafy,0,0,0
OvedBenZeev,0,0,0,Avshalom,0,0,0
Aviv,0,0,0,KingArt,0,0,0
Bye,0,0,7,lur,0,0,0
mirob,0,0,0,nadavd,0,0,0
YossiEliezer23,0,0,0,gidio,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Moriarty,0,0,0
GuyEliyahu,0,0,0,Nissimb,0,0,0
YKwin,0,0,0,hmualem,0,0,0
HeartGammon,0,0,0,Idan1986,0,0,0
Tezka11,0,0,0,sasha_er,0,0,0
ys,0,0,0,bardak65,0,0,0
