Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Moriarty,0,0,0
Idan1986,0,0,0,bardak65,0,0,0
Nissimb,0,0,0,Tezka11,0,0,0
UziMutsafy,0,0,0,gidio,0,0,0
GuyEliyahu,0,0,0,nadavd,0,0,0
Avshalom,0,0,0,MarcelDana,0,0,0
Hummus,0,0,0,YKwin,0,0,0
YossiEliezer23,0,0,0,ynonhagag,0,0,0
ys,0,0,0,GS18671,0,0,0
OvedBenZeev,0,0,0,Aviv,0,0,0
Yannay,0,0,0,eliyaushmueli,0,0,0
Phoenix33,0,0,0,yosseflive,0,0,0
TLV100,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Idan1986,0,0,0
Nissimb,0,0,0,Moriarty,0,0,0
UziMutsafy,5.82,-4.05,2,bardak65,8.07,0.91,7
GuyEliyahu,0,0,0,Tezka11,0,0,0
Avshalom,0,0,0,gidio,0,0,0
Hummus,0,0,0,nadavd,0,0,0
YossiEliezer23,0,0,0,MarcelDana,0,0,0
ys,0,0,0,YKwin,0,0,0
OvedBenZeev,0,0,0,ynonhagag,0,0,0
Yannay,0,0,0,GS18671,0,0,0
Phoenix33,0,0,0,Aviv,0,0,0
TLV100,0,0,0,eliyaushmueli,0,0,0
Bye,0,0,7,yosseflive,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Nissimb,0,0,0
UziMutsafy,0,0,0,Idan1986,0,0,0
GuyEliyahu,0,0,0,Moriarty,0,0,0
Avshalom,0,0,0,bardak65,0,0,0
Hummus,0,0,0,Tezka11,0,0,0
YossiEliezer23,0,0,0,gidio,0,0,0
ys,0,0,0,nadavd,0,0,0
OvedBenZeev,0,0,0,MarcelDana,0,0,0
Yannay,0,0,0,YKwin,0,0,0
Phoenix33,0,0,0,ynonhagag,0,0,0
TLV100,0,0,0,GS18671,0,0,0
Bye,0,0,7,Aviv,0,0,0
yosseflive,0,0,0,eliyaushmueli,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,UziMutsafy,0,0,0
GuyEliyahu,4.79,1.37,7,Nissimb,10.65,-1.25,4
Avshalom,0,0,0,Idan1986,0,0,0
Hummus,0,0,0,Moriarty,0,0,0
YossiEliezer23,6.26,-1.53,4,bardak65,9.73,3.27,7
ys,9.65,4.31,7,Tezka11,12.1,0.4,3
OvedBenZeev,0,0,0,gidio,0,0,0
Yannay,0,0,0,nadavd,0,0,0
Phoenix33,10.46,2.87,7,MarcelDana,11.46,-2.61,3
TLV100,0,0,0,YKwin,0,0,0
Bye,0,0,7,ynonhagag,0,0,0
yosseflive,0,0,0,GS18671,0,0,0
eliyaushmueli,0,0,0,Aviv,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,GuyEliyahu,0,0,0
Avshalom,0,0,0,UziMutsafy,0,0,0
Hummus,0,0,0,Nissimb,0,0,0
YossiEliezer23,0,0,0,Idan1986,0,0,0
ys,0,0,0,Moriarty,0,0,0
OvedBenZeev,0,0,0,bardak65,0,0,0
Yannay,0,0,0,Tezka11,0,0,0
Phoenix33,0,0,0,gidio,0,0,0
TLV100,0,0,0,nadavd,0,0,0
Bye,0,0,7,MarcelDana,0,0,0
yosseflive,0,0,0,YKwin,0,0,0
eliyaushmueli,10.57,-2.12,7,ynonhagag,7.7,-2.61,6
Aviv,0,0,0,GS18671,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Avshalom,0,0,0
Hummus,0,0,0,GuyEliyahu,0,0,0
YossiEliezer23,4.73,-0.33,7,UziMutsafy,8.2,-3.01,4
ys,0,0,0,Nissimb,0,0,0
OvedBenZeev,0,0,0,Idan1986,0,0,0
Yannay,0,0,0,Moriarty,0,0,0
Phoenix33,9.57,4.55,7,bardak65,14.14,1.36,3
TLV100,8.73,-0.45,3,Tezka11,10.38,0.54,7
Bye,0,0,7,gidio,0,0,0
yosseflive,0,0,0,nadavd,0,0,0
eliyaushmueli,0,0,0,MarcelDana,0,0,0
Aviv,0,0,0,YKwin,0,0,0
GS18671,0,0,0,ynonhagag,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Hummus,0,0,0
YossiEliezer23,0,0,0,Avshalom,0,0,0
ys,0,0,0,GuyEliyahu,0,0,0
