Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,0,0,0,Danny_kondrea,0,0,0
sasha_er,13.7,-2.92,1,Idan1986,12.5,4.22,7
bardak65,0,0,0,hmualem,0,0,0
Ran1976,0,0,0,Nissimb,0,0,0
Efi,0,0,0,Moriarty,0,0,0
fridlich,4.85,-2.2,1,Amiros,16.5,2.12,7
UziMutsafy,15.93,3.79,7,GuyEliyahu,1.42,-0.14,3
nadavd,0,0,0,Avshalom,0,0,0
Aviado,0,0,0,Hummus,0,0,0
Tezka11,8.19,2.52,6,YKwin,2.52,2.69,7
YossiEliezer23,3.41,-0.05,7,ynonhagag,5.11,-0.3,6
OMRAD,5.7,-2.58,3,boutsky,1.18,0.05,7
dror,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,13.56,-3.5,0,sasha_er,18.41,2.15,7
bardak65,0,0,0,Danny_kondrea,0,0,0
Ran1976,0,0,0,Idan1986,0,0,0
Efi,0,0,0,hmualem,0,0,0
fridlich,5.37,-0.57,2,Nissimb,5.8,2.16,7
UziMutsafy,10.95,0.11,7,Moriarty,3.85,-3.08,2
nadavd,0,0,0,Amiros,0,0,0
Aviado,6.3,2.38,7,GuyEliyahu,7.5,-2.92,0
Tezka11,0,0,0,Avshalom,0,0,0
YossiEliezer23,0,0,0,Hummus,0,0,0
OMRAD,9.96,-0.86,4,YKwin,2.96,0.71,7
dror,0,0,0,ynonhagag,0,0,0
Bye,0,0,7,boutsky,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,11.16,1.16,7,bardak65,15.13,1.09,6
Ran1976,17.96,1.56,7,sasha_er,19.29,0.42,5
Efi,0,0,0,Danny_kondrea,0,0,0
fridlich,6.02,-0.56,6,Idan1986,11.15,-0.5,7
UziMutsafy,12.78,-3.08,4,hmualem,8.95,-2.94,7
nadavd,0,0,0,Nissimb,0,0,0
Aviado,0,0,0,Moriarty,0,0,0
Tezka11,0,0,0,Amiros,0,0,0
YossiEliezer23,6.07,3.03,7,GuyEliyahu,3.4,-0.57,2
OMRAD,6.25,-2.02,2,Avshalom,12.8,2.1,7
dror,13.83,2.79,7,Hummus,4.29,-1.38,2
Bye,0,0,7,YKwin,0,0,0
boutsky,0,0,0,ynonhagag,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,14.35,2.77,7,Ran1976,11.73,-0.92,2
Efi,15.91,6.44,7,bardak65,8.43,1.7,5
fridlich,6.61,1.06,7,sasha_er,11.89,-3.41,1
UziMutsafy,0,0,0,Danny_kondrea,0,0,0
nadavd,0,0,0,Idan1986,0,0,0
Aviado,0,0,0,hmualem,0,0,0
Tezka11,0,0,0,Nissimb,0,0,0
YossiEliezer23,4.99,-1.37,2,Moriarty,8.56,1.35,7
OMRAD,0,0,0,Amiros,0,0,0
dror,11.47,2.69,7,GuyEliyahu,5.58,0.57,6
Bye,0,0,7,Avshalom,0,0,0
boutsky,0,0,0,Hummus,0,0,0
ynonhagag,7.51,0.42,7,YKwin,4.08,-0.98,5
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,11.87,-3.59,7,Efi,23.86,-2.06,5
fridlich,2.29,2,7,Ran1976,15.62,-2.08,1
UziMutsafy,15.32,1.13,7,bardak65,10.22,-2.02,2
nadavd,0,0,0,sasha_er,0,0,0
Aviado,0,0,0,Danny_kondrea,0,0,0
Tezka11,0,0,0,Idan1986,0,0,0
YossiEliezer23,7.6,-1.04,7,hmualem,12.4,1.83,5
OMRAD,6.82,2.47,7,Nissimb,3.41,-2.93,0
dror,13.28,3.21,7,Moriarty,8,-1.86,2
Bye,0,0,7,Amiros,0,0,0
boutsky,0,0,0,GuyEliyahu,0,0,0
ynonhagag,0,0,0,Avshalom,0,0,0
YKwin,3.46,0.44,7,Hummus,6.23,-0.17,6
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,10.37,-0.7,0,fridlich,6.76,2.44,7
UziMutsafy,13.79,-3.65,7,Efi,14.61,-4.85,5
nadavd,5.25,3.54,7,Ran1976,15.31,-1.05,0
Aviado,0,0,0,bardak65,0,0,0
Tezka11,0,0,0,sasha_er,0,0,0
YossiEliezer23,0,0,0,Danny_kondrea,0,0,0
OMRAD,0,0,0,Idan1986,0,0,0
dror,18.65,0.09,7,hmualem,10.08,-6.18,1
Bye,0,0,7,Nissimb,0,0,0
boutsky,4.42,-3.68,0,Moriarty,6.96,3.31,7
ynonhagag,0,0,0,Amiros,0,0,0
YKwin,3.86,-1.01,2,GuyEliyahu,5.12,0.6,7
Hummus,5.89,1.3,7,Avshalom,16.84,-3.05,4
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,13.17,-0.85,1,UziMutsafy,10.47,4.39,7
nadavd,0,0,0,fridlich,0,0,0
Aviado,5.09,-5,3,Efi,15.41,0.16,7
Tezka11,0,0,0,Ran1976,0,0,0
YossiEliezer23,5.83,-1,7,bardak65,9.38,0.88,6
OMRAD,6.25,2.34,7,sasha_er,10.35,-0.82,4
dror,18.73,2.11,7,Danny_kondrea,13.44,-2.75,6
Bye,0,0,7,Idan1986,0,0,0
boutsky,0,0,0,hmualem,0,0,0
ynonhagag,0,0,0,Nissimb,0,0,0
YKwin,7.17,-3.9,4,Moriarty,7.27,-0.41,7
Hummus,9.5,-1.48,0,Amiros,11.04,0.39,7
Avshalom,10.57,1.46,7,GuyEliyahu,3.93,-1.25,5
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,0,0,0,nadavd,0,0,0
Aviado,6.11,-1.77,7,UziMutsafy,6.28,-2.39,4
Tezka11,18.09,-0.06,2,fridlich,4.56,1.72,7
YossiEliezer23,5.58,-2.46,4,Efi,10.66,-0.18,7
OMRAD,8.9,0.72,7,Ran1976,15.85,-0.69,3
dror,10.31,-0.16,7,bardak65,10.54,-4.13,2
Bye,0,0,7,sasha_er,0,0,0
